category,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,13.587533950805664,265.9974553741142,1.0,1.6687400823831557,0.4966820672511388,0.8437112659215927
Affective,13.587533950805664,265.9974553741142,1.0,1.6940626323223114,0.4840182546930813,0.843967416882515
Art,13.587533950805664,265.9974553741142,1.0,1.634861990213394,0.5386500507867806,0.8384049063920975
BlackWhite,13.587533950805664,265.9974553741142,1.0,1.8438452607393265,0.5299892265583972,0.8651411187648773
Cartoon,13.587533950805664,265.9974553741142,1.0,1.3826663780212403,0.47707091671856783,0.7975662523508071
Fractal,13.587533950805664,265.9974553741142,1.0,1.8204910206794738,0.5723215245581389,0.8571743881702423
Indoor,13.587533950805664,265.9974553741142,1.0,1.485954120159149,0.5275065818248074,0.8163630259037018
Inverted,13.587533950805664,265.9974553741142,1.0,1.595573297739029,0.5484777025234707,0.8334878665208817
Jumbled,13.587533950805664,265.9974553741142,1.0,1.3959485822916031,0.5410861170356945,0.8142138916254044
LineDrawing,13.587533950805664,265.9974553741142,1.0,1.6753414130210877,0.5601822567901028,0.8425286257266998
LowResolution,13.587533950805664,265.9974553741142,1.0,2.1043654215335845,0.5840842816235999,0.8885808598995208
Noisy,13.587533950805664,265.9974553741142,1.0,1.8093722224235536,0.5623967203958181,0.8537839525938034
Object,13.587533950805664,265.9974553741142,1.0,1.8146320605278015,0.5438669015364574,0.860044219493866
OutdoorManMade,13.587533950805664,265.9974553741142,1.0,1.5667181712388993,0.5288623554816437,0.8245609718561172
OutdoorNatural,13.587533950805664,265.9974553741142,1.0,1.6833008235692979,0.5513255086359774,0.8422150367498398
Pattern,13.587533950805664,265.9974553741142,1.0,1.9623175168037414,0.5863779514026054,0.8776411932706832
Random,13.587533950805664,265.9974553741142,1.0,1.750686405301094,0.5335302090780729,0.8599108082056045
Satelite,13.587533950805664,265.9974553741142,1.0,1.5000209939479827,0.5396120387261855,0.803608273267746
Sketch,13.587533950805664,265.9974553741142,1.0,2.156756806373596,0.5630190134313321,0.9054342091083527
Social,13.587533950805664,265.9974553741142,1.0,1.381453300714493,0.45206626808297,0.810238407254219
