model_name,matched_rows,mean_delta_entropy,mean_delta_center_distance,mean_delta_num_peaks
center_bias_baseline,2000,7.508465933322906,44.28849144180694,2.7435
deepgazeiie,700,6.8500182867050174,33.48926430926176,6.352857142857143
samresnet,2000,7.150545641422272,18.82517678180641,95.1575
transalnet,1000,7.968646360874176,170.39752998790888,8.932
