model_name,metric,n,mean,std,ci_lower,ci_upper
center_bias_baseline,delta_center_distance,1000,43.229069353001265,31.565005436335657,41.236495282071836,45.165681386556955
center_bias_baseline,delta_entropy,1000,7.4834242129325865,0.11323070942616106,7.476456497716904,7.490928920829297
center_bias_baseline,delta_num_peaks,1000,2.912,2.510489704929809,2.757925,3.067025
center_bias_baseline,model_auc,1000,0.8411922434568405,0.053033355088371245,0.837876537977159,0.8444341407448053
center_bias_baseline,model_cc,1000,0.5441026350615461,0.08869651384364585,0.5385904970586745,0.5500206284788841
center_bias_baseline,model_nss,1000,1.6814903768897056,0.4121270779661167,1.656377059996128,1.7069066124409435
deepgazeiie,delta_center_distance,1000,33.48926430926176,27.005361862134038,31.535288850293334,35.52571554320802
deepgazeiie,delta_entropy,1000,6.8500182867050174,0.42300622318157965,6.818203302672932,6.881016339591571
deepgazeiie,delta_num_peaks,1000,6.352857142857143,6.825208291320199,5.857107142857142,6.872857142857143
deepgazeiie,model_auc,1000,0.8667881995439529,0.03897498142549635,0.8638644586801529,0.8696022730001381
deepgazeiie,model_cc,1000,0.5996148344278015,0.11675762195383912,0.590892104492451,0.6079732755120455
deepgazeiie,model_nss,1000,1.9645670261553356,0.7008656396873967,1.9129649612179824,2.0168824354325023
samresnet,delta_center_distance,1000,18.36656453802003,15.784005449018158,17.405084444283972,19.331479114824464
samresnet,delta_entropy,1000,7.135798451900482,0.3137568643198174,7.116181217706203,7.156496050059795
samresnet,delta_num_peaks,1000,92.906,88.39767708098056,87.761075,98.514175
samresnet,model_auc,1000,0.8790569439530372,0.035263569565632556,0.8767600654453039,0.8811637524977327
samresnet,model_cc,1000,0.7913834793222133,0.06397043659899213,0.7873794293589121,0.7953274170771161
samresnet,model_nss,1000,2.522191947340965,0.6556558946970651,2.481145143684745,2.563488917014003
transalnet,delta_center_distance,1000,170.39752998790888,56.416651741142246,166.98485190720632,173.84243487047493
transalnet,delta_entropy,1000,7.968646360874176,0.24354461618664536,7.953596554422378,7.983810560929775
transalnet,delta_num_peaks,1000,8.932,6.796437858729201,8.520925,9.358
transalnet,model_auc,1000,0.7362590017318725,0.09038007197499548,0.7306506720334291,0.7418249374464154
transalnet,model_cc,1000,0.28482356769695116,0.121694158903025,0.2771296966186099,0.29234565118830674
transalnet,model_nss,1000,0.8697918138904497,0.4241617245359173,0.8435894119067583,0.8952280026702676
