model_name,category,threshold_ratio,neighborhood,mean_delta_num_peaks
deepgazeiie,Pattern,0.5,35,14.857142857142858
deepgazeiie,Pattern,0.6,15,11.485714285714286
deepgazeiie,Pattern,0.6,25,11.257142857142858
deepgazeiie,Pattern,0.6,35,11.085714285714285
deepgazeiie,Pattern,0.7,15,8.8
deepgazeiie,Pattern,0.7,25,8.571428571428571
deepgazeiie,Pattern,0.7,35,8.4
deepgazeiie,Random,0.5,15,7.114285714285714
deepgazeiie,Random,0.5,25,6.714285714285714
deepgazeiie,Random,0.5,35,6.542857142857143
deepgazeiie,Random,0.6,15,5.9714285714285715
deepgazeiie,Random,0.6,25,5.571428571428571
deepgazeiie,Random,0.6,35,5.4
deepgazeiie,Random,0.7,15,4.885714285714286
deepgazeiie,Random,0.7,25,4.485714285714286
deepgazeiie,Random,0.7,35,4.485714285714286
deepgazeiie,Satelite,0.5,15,12.571428571428571
deepgazeiie,Satelite,0.5,25,12.0
deepgazeiie,Satelite,0.5,35,11.771428571428572
deepgazeiie,Satelite,0.6,15,9.314285714285715
deepgazeiie,Satelite,0.6,25,8.742857142857142
deepgazeiie,Satelite,0.6,35,8.514285714285714
deepgazeiie,Satelite,0.7,15,7.485714285714286
deepgazeiie,Satelite,0.7,25,7.142857142857143
deepgazeiie,Satelite,0.7,35,7.0285714285714285
deepgazeiie,Sketch,0.5,15,7.485714285714286
deepgazeiie,Sketch,0.5,25,7.257142857142857
deepgazeiie,Sketch,0.5,35,7.085714285714285
deepgazeiie,Sketch,0.6,15,5.2
deepgazeiie,Sketch,0.6,25,5.085714285714285
deepgazeiie,Sketch,0.6,35,4.914285714285715
deepgazeiie,Sketch,0.7,15,3.8857142857142857
deepgazeiie,Sketch,0.7,25,3.7714285714285714
deepgazeiie,Sketch,0.7,35,3.6
deepgazeiie,Social,0.5,15,6.4
deepgazeiie,Social,0.5,25,6.3428571428571425
deepgazeiie,Social,0.5,35,6.228571428571429
deepgazeiie,Social,0.6,15,4.628571428571429
deepgazeiie,Social,0.6,25,4.571428571428571
deepgazeiie,Social,0.6,35,4.457142857142857
deepgazeiie,Social,0.7,15,3.657142857142857
deepgazeiie,Social,0.7,25,3.657142857142857
deepgazeiie,Social,0.7,35,3.5428571428571427
