model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Action,025,0.5,35,8,4,4
deepgazeiie,Action,025,0.6,15,8,4,4
deepgazeiie,Action,025,0.6,25,8,4,4
deepgazeiie,Action,025,0.6,35,8,4,4
deepgazeiie,Action,025,0.7,15,8,4,4
deepgazeiie,Action,025,0.7,25,8,4,4
deepgazeiie,Action,025,0.7,35,8,4,4
deepgazeiie,Action,027,0.5,15,12,3,9
deepgazeiie,Action,027,0.5,25,12,3,9
deepgazeiie,Action,027,0.5,35,12,3,9
deepgazeiie,Action,027,0.6,15,4,3,1
deepgazeiie,Action,027,0.6,25,4,3,1
deepgazeiie,Action,027,0.6,35,4,3,1
deepgazeiie,Action,027,0.7,15,4,3,1
deepgazeiie,Action,027,0.7,25,4,3,1
deepgazeiie,Action,027,0.7,35,4,3,1
deepgazeiie,Action,029,0.5,15,12,1,11
deepgazeiie,Action,029,0.5,25,12,1,11
deepgazeiie,Action,029,0.5,35,12,1,11
deepgazeiie,Action,029,0.6,15,12,1,11
deepgazeiie,Action,029,0.6,25,12,1,11
deepgazeiie,Action,029,0.6,35,12,1,11
deepgazeiie,Action,029,0.7,15,8,1,7
deepgazeiie,Action,029,0.7,25,8,1,7
deepgazeiie,Action,029,0.7,35,8,1,7
deepgazeiie,Action,031,0.5,15,20,6,14
deepgazeiie,Action,031,0.5,25,20,6,14
deepgazeiie,Action,031,0.5,35,20,6,14
deepgazeiie,Action,031,0.6,15,16,6,10
deepgazeiie,Action,031,0.6,25,16,6,10
deepgazeiie,Action,031,0.6,35,16,6,10
deepgazeiie,Action,031,0.7,15,12,6,6
deepgazeiie,Action,031,0.7,25,12,6,6
deepgazeiie,Action,031,0.7,35,12,6,6
deepgazeiie,Action,033,0.5,15,4,4,0
deepgazeiie,Action,033,0.5,25,4,4,0
deepgazeiie,Action,033,0.5,35,4,4,0
deepgazeiie,Action,033,0.6,15,4,4,0
deepgazeiie,Action,033,0.6,25,4,4,0
deepgazeiie,Action,033,0.6,35,4,4,0
deepgazeiie,Action,033,0.7,15,4,4,0
deepgazeiie,Action,033,0.7,25,4,4,0
deepgazeiie,Action,033,0.7,35,4,4,0
deepgazeiie,Action,035,0.5,15,16,4,12
deepgazeiie,Action,035,0.5,25,16,4,12
deepgazeiie,Action,035,0.5,35,16,4,12
deepgazeiie,Action,035,0.6,15,12,4,8
deepgazeiie,Action,035,0.6,25,12,4,8
deepgazeiie,Action,035,0.6,35,12,4,8
deepgazeiie,Action,035,0.7,15,8,4,4
deepgazeiie,Action,035,0.7,25,8,4,4
