model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Noisy,0.6,35,9.371428571428572
deepgazeiie,Noisy,0.7,15,8.057142857142857
deepgazeiie,Noisy,0.7,25,8.0
deepgazeiie,Noisy,0.7,35,8.0
deepgazeiie,Object,0.5,15,11.885714285714286
deepgazeiie,Object,0.5,25,11.314285714285715
deepgazeiie,Object,0.5,35,11.2
deepgazeiie,Object,0.6,15,9.542857142857143
deepgazeiie,Object,0.6,25,9.257142857142858
deepgazeiie,Object,0.6,35,9.142857142857142
deepgazeiie,Object,0.7,15,7.371428571428571
deepgazeiie,Object,0.7,25,7.085714285714285
deepgazeiie,Object,0.7,35,6.9714285714285715
deepgazeiie,OutdoorManMade,0.5,15,10.971428571428572
deepgazeiie,OutdoorManMade,0.5,25,10.857142857142858
deepgazeiie,OutdoorManMade,0.5,35,10.8
deepgazeiie,OutdoorManMade,0.6,15,9.028571428571428
deepgazeiie,OutdoorManMade,0.6,25,9.028571428571428
deepgazeiie,OutdoorManMade,0.6,35,8.971428571428572
deepgazeiie,OutdoorManMade,0.7,15,7.2
deepgazeiie,OutdoorManMade,0.7,25,7.2
deepgazeiie,OutdoorManMade,0.7,35,7.142857142857143
deepgazeiie,OutdoorNatural,0.5,15,14.628571428571428
deepgazeiie,OutdoorNatural,0.5,25,13.714285714285714
deepgazeiie,OutdoorNatural,0.5,35,13.371428571428572
deepgazeiie,OutdoorNatural,0.6,15,12.057142857142857
deepgazeiie,OutdoorNatural,0.6,25,11.428571428571429
deepgazeiie,OutdoorNatural,0.6,35,11.142857142857142
deepgazeiie,OutdoorNatural,0.7,15,9.542857142857143
deepgazeiie,OutdoorNatural,0.7,25,9.142857142857142
deepgazeiie,OutdoorNatural,0.7,35,8.971428571428572
deepgazeiie,Pattern,0.5,15,18.4
deepgazeiie,Pattern,0.5,25,18.17142857142857
deepgazeiie,Pattern,0.5,35,17.942857142857143
deepgazeiie,Pattern,0.6,15,14.514285714285714
deepgazeiie,Pattern,0.6,25,14.285714285714286
deepgazeiie,Pattern,0.6,35,14.114285714285714
deepgazeiie,Pattern,0.7,15,11.771428571428572
deepgazeiie,Pattern,0.7,25,11.542857142857143
deepgazeiie,Pattern,0.7,35,11.371428571428572
deepgazeiie,Random,0.5,15,10.8
deepgazeiie,Random,0.5,25,10.4
deepgazeiie,Random,0.5,35,10.228571428571428
deepgazeiie,Random,0.6,15,9.657142857142857
deepgazeiie,Random,0.6,25,9.257142857142858
deepgazeiie,Random,0.6,35,9.085714285714285
deepgazeiie,Random,0.7,15,8.17142857142857
deepgazeiie,Random,0.7,25,7.771428571428571
deepgazeiie,Random,0.7,35,7.6
deepgazeiie,Satelite,0.5,15,15.314285714285715
deepgazeiie,Satelite,0.5,25,14.742857142857142
deepgazeiie,Satelite,0.5,35,14.514285714285714
deepgazeiie,Satelite,0.6,15,12.0
deepgazeiie,Satelite,0.6,25,11.428571428571429
deepgazeiie,Satelite,0.6,35,11.2
deepgazeiie,Satelite,0.7,15,10.057142857142857
deepgazeiie,Satelite,0.7,25,9.714285714285714
deepgazeiie,Satelite,0.7,35,9.6
deepgazeiie,Sketch,0.5,15,11.2
deepgazeiie,Sketch,0.5,25,10.971428571428572
deepgazeiie,Sketch,0.5,35,10.8
deepgazeiie,Sketch,0.6,15,8.342857142857143
deepgazeiie,Sketch,0.6,25,8.228571428571428
deepgazeiie,Sketch,0.6,35,8.057142857142857
deepgazeiie,Sketch,0.7,15,6.857142857142857
deepgazeiie,Sketch,0.7,25,6.742857142857143
deepgazeiie,Sketch,0.7,35,6.571428571428571
deepgazeiie,Social,0.5,15,10.342857142857143
deepgazeiie,Social,0.5,25,10.285714285714286
deepgazeiie,Social,0.5,35,10.17142857142857
deepgazeiie,Social,0.6,15,8.4
deepgazeiie,Social,0.6,25,8.342857142857143
deepgazeiie,Social,0.6,35,8.228571428571428
deepgazeiie,Social,0.7,15,6.9714285714285715
deepgazeiie,Social,0.7,25,6.9714285714285715
deepgazeiie,Social,0.7,35,6.857142857142857
