category,image,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,001,12.151535987854004,240.8726018456827,4,2.1697278022766113,0.5611092680913927,0.9042076468467712
Action,003,12.883415222167969,329.4302753208241,4,1.5947189331054688,0.5204025317956843,0.8603333234786987
Action,005,11.590864181518555,218.65440070598103,4,2.8232171535491943,0.6685035831768147,0.906623363494873
Action,007,12.713640213012695,268.36163566658564,4,1.525338888168335,0.498180761010393,0.8843570351600647
Action,009,12.702080726623535,280.6934392712827,8,2.0944831371307373,0.5557977598701772,0.8816969990730286
Action,011,12.049973487854004,238.37393986403532,4,3.046128749847412,0.757991859715099,0.874817967414856
Action,013,12.940389633178711,211.13336241427328,16,1.4317889213562012,0.49482935849642906,0.8627601861953735
Action,015,12.040159225463867,215.68763416562516,4,2.9095571041107178,0.7446711198647262,0.8831212520599365
Action,017,12.941542625427246,274.80785830043243,8,1.6624277830123901,0.5212580476330657,0.8667982816696167
Action,019,12.80168628692627,250.7148372972487,16,1.7476108074188232,0.6401972299090574,0.8838415145874023
Action,021,12.743054389953613,310.8609393490289,12,1.1948978900909424,0.45031895074523987,0.8606951832771301
Action,023,12.624043464660645,252.89881946685648,4,1.928554892539978,0.5998825865407741,0.8616092801094055
Action,025,12.415528297424316,270.6555354179893,8,1.882569670677185,0.6339549475879319,0.8693851828575134
Action,027,12.912001609802246,262.4829197130182,4,1.3985300064086914,0.4918318204952842,0.858372688293457
Action,029,12.100788116455078,192.4102587325096,12,1.8699702024459839,0.5655716993391352,0.8612818717956543
Action,031,12.459732055664062,216.1351481672682,16,1.861185073852539,0.6341321108739091,0.8494985103607178
Action,033,12.101552963256836,254.0209629670367,4,2.0714521408081055,0.5522058104391702,0.879964292049408
Action,035,13.068439483642578,277.47815773832076,12,1.574527621269226,0.6095605055052856,0.8407440185546875
Action,037,13.02094554901123,254.01059159692406,12,1.6968456506729126,0.5664571735167709,0.8790006637573242
Action,039,12.843451499938965,219.06961939767817,4,2.163604259490967,0.6556794368450723,0.906107485294342
Action,041,12.342171669006348,168.80875574812552,4,2.711137294769287,0.5839511363649293,0.9286704659461975
Action,043,12.3129243850708,173.1443194902584,8,2.3072290420532227,0.6346712353062416,0.9249533414840698
Action,045,12.013504028320312,198.85202022019135,4,4.23752498626709,0.809639896460296,0.9269707202911377
Action,047,12.265423774719238,165.76607088925937,4,4.784110069274902,0.8606659222367771,0.9479706883430481
Action,049,12.116580963134766,182.04935233072115,4,4.555234909057617,0.8469892744423639,0.9349805116653442
Action,051,12.820176124572754,232.04431140894653,8,1.5875755548477173,0.5928573875010249,0.8702195286750793
Action,053,12.691913604736328,239.57446362230843,4,2.3276970386505127,0.6810319976248109,0.8808906674385071
Action,055,12.980924606323242,228.76702514813292,4,1.3903019428253174,0.49274945083595256,0.8794679641723633
Action,057,12.68600845336914,212.1503334792346,8,2.03539776802063,0.7422028131421857,0.8664637804031372
Action,059,12.88435173034668,248.5345073895108,16,1.4360136985778809,0.4737054823802936,0.860179603099823
Action,061,12.288739204406738,204.78512047517546,4,2.8613898754119873,0.6893529588829133,0.9298426508903503
