model_name,category,benchmark_metric,structural_metric,spearman_rho,p_value,n_pairs
center_bias_baseline,Indoor,model_cc,delta_num_peaks,0.1353671024098183,0.3486023105302033,50
center_bias_baseline,Indoor,model_cc,delta_center_distance,-0.6622328931572629,1.6253963742481196e-07,50
center_bias_baseline,Indoor,model_auc,delta_entropy,0.34353766006684916,0.014582537339287025,50
center_bias_baseline,Indoor,model_auc,delta_num_peaks,-0.08240581682952328,0.5694049339428016,50
center_bias_baseline,Indoor,model_auc,delta_center_distance,-0.7911164465786314,8.099144341568264e-12,50
center_bias_baseline,Inverted,model_nss,delta_entropy,0.24590636254501802,0.08518127988796848,50
center_bias_baseline,Inverted,model_nss,delta_num_peaks,-0.3835700910353293,0.005965189258265876,50
center_bias_baseline,Inverted,model_nss,delta_center_distance,-0.46103241296518604,0.0007530832587005716,50
center_bias_baseline,Inverted,model_cc,delta_entropy,0.06881152460984392,0.6349097988988522,50
center_bias_baseline,Inverted,model_cc,delta_num_peaks,-0.12855813079226971,0.37359963797411266,50
center_bias_baseline,Inverted,model_cc,delta_center_distance,-0.4109963985594237,0.0030277202300628687,50
center_bias_baseline,Inverted,model_auc,delta_entropy,0.18319327731092436,0.20287018223037157,50
center_bias_baseline,Inverted,model_auc,delta_num_peaks,-0.3813679152128504,0.006283907987549579,50
center_bias_baseline,Inverted,model_auc,delta_center_distance,-0.4671788715486195,0.0006253351395243701,50
center_bias_baseline,Jumbled,model_nss,delta_entropy,0.46313059884365554,0.0007070555642074986,50
center_bias_baseline,Jumbled,model_nss,delta_num_peaks,-0.07850653295285584,0.5878723098813404,50
center_bias_baseline,Jumbled,model_nss,delta_center_distance,-0.8707322929171669,2.0916262199716414e-16,50
center_bias_baseline,Jumbled,model_cc,delta_entropy,0.34043268511019015,0.015559817321501128,50
center_bias_baseline,Jumbled,model_cc,delta_num_peaks,0.09129910926425674,0.5283199734548527,50
center_bias_baseline,Jumbled,model_cc,delta_center_distance,-0.6762545018007202,7.050462981391253e-08,50
center_bias_baseline,Jumbled,model_auc,delta_entropy,0.34312195445229354,0.014710261936531206,50
center_bias_baseline,Jumbled,model_auc,delta_num_peaks,-0.002188843855562895,0.9879635692110003,50
center_bias_baseline,Jumbled,model_auc,delta_center_distance,-0.8978151260504202,1.0166628094286615e-18,50
center_bias_baseline,LineDrawing,model_nss,delta_entropy,0.23879951980792313,0.09489594953093937,50
center_bias_baseline,LineDrawing,model_nss,delta_num_peaks,-0.004332265331675648,0.9761794682346834,50
center_bias_baseline,LineDrawing,model_nss,delta_center_distance,-0.4857142857142857,0.0003494000355608843,50
center_bias_baseline,LineDrawing,model_cc,delta_entropy,0.15601440576230494,0.27928474214841537,50
