Model,NSS,CC,AUC-Judd,n
Centre Gaussian baseline,1.6814903768897058,0.5441026350615461,0.8411922434568405,1000
DeepGaze IIE,1.9645670261553356,0.5996148344278016,0.8667881995439529,700
SAM-ResNet,2.522191947340965,0.7913834793222133,0.8790569439530372,1000
TranSalNet,0.8697918138904497,0.5199999999999999,0.7362590017318725,1000
