model_name,matched_rows,mean_delta_entropy,mean_delta_center_distance,mean_delta_num_peaks
center_bias_baseline,1000,7.4834242129325865,43.229069353001265,2.912
deepgazeiie,700,6.8500182867050174,33.48926430926176,6.352857142857143
samresnet,1000,7.135798451900482,18.36656453802003,92.906
transalnet,1000,7.968646360874176,170.39752998790888,8.932
