category,image,model_name,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,human_entropy,human_center_distance,human_num_peaks,delta_entropy,delta_center_distance,delta_num_peaks
Pattern,65,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.268380880355835,0.5185868925780831,0.8985411524772644,5.796154499053955,200.9719437216751,1,7.791379451751709,65.02551165243912,0
Pattern,67,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.436025857925415,0.645390435695943,0.8285207748413086,6.3466081619262695,292.5354273256951,3,7.2409257888793945,26.537971951580857,2
Pattern,69,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.002125024795532,0.4857714658302626,0.8936590552330017,5.922000885009766,224.0798333834761,5,7.665533065795898,41.91762199063811,4
Pattern,71,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.7688732147216797,0.5513610731315606,0.8645667433738708,6.014739990234375,253.9337326575815,2,7.572793960571289,12.063722716532737,1
Pattern,73,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.615992546081543,0.6360903361317906,0.8546778559684753,6.01474666595459,272.1392877659498,12,7.572787284851074,6.141832391835578,11
Pattern,75,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.162797451019287,0.5678338062826773,0.8944841623306274,5.904472827911377,213.4588452195707,2,7.683061122894287,52.538610154543534,1
Pattern,77,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.9022152423858645,0.6981575412215041,0.8805519938468933,6.021034240722656,238.38339435677204,3,7.566499710083008,27.61406101734218,2
Pattern,79,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.860063433647156,0.5503391718579207,0.8499718904495239,5.890231132507324,259.1705281153961,4,7.69730281829834,6.826927258718115,3
Pattern,81,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.003575563430786,0.7050984238160026,0.8964310884475708,6.128010272979736,225.27957428616307,6,7.459523677825928,40.717881087951156,5
Pattern,83,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.085269927978516,0.6661979531670035,0.8957875370979309,5.992371559143066,219.1860497982129,2,7.595162391662598,46.81140557590132,1
Pattern,85,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.557616114616394,0.5812397073382755,0.8529788851737976,5.966161727905273,270.98248569399794,5,7.621372222900391,4.98503031988372,4
