category,image,model_name,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,human_entropy,human_center_distance,human_num_peaks,delta_entropy,delta_center_distance,delta_num_peaks
Action,1,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.2212719917297363,0.579825664698988,0.8979122638702393,5.995593070983887,212.024395238429,6,7.591940879821777,53.973060135685216,5
Action,3,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.3849914073944092,0.4592514933116396,0.8337153196334839,6.1447625160217285,293.942736762231,9,7.4427714347839355,27.94528138811677,8
Action,5,center_bias_baseline,13.587533950805664,265.9974553741142,1,2.085524320602417,0.5319208777102687,0.8808174133300781,6.105237483978272,231.9127995310304,3,7.482296466827392,34.08465584308382,2
Action,7,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.6812130212783811,0.5699732052704712,0.8620733022689819,6.093632221221924,259.8242327594318,4,7.49390172958374,6.173222614682402,3
Action,9,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.918290615081787,0.5316466447733803,0.8634338974952698,6.0848565101623535,249.83634329473895,3,7.5026774406433105,16.161112079375272,2
Action,11,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.5228782892227173,0.4186277557771714,0.8212857842445374,6.182762145996094,296.4516358318374,1,7.40477180480957,30.45418045772317,0
Action,13,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.4448496103286743,0.5082148137577123,0.8434716463088989,6.144759178161621,286.7569026690232,6,7.442774772644043,20.759447294908966,5
Action,15,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.8600726127624512,0.5326273269120784,0.8678321242332458,6.15849494934082,252.72841279822467,1,7.429039001464844,13.269042575889557,0
Action,17,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.408116340637207,0.4545054336205338,0.8390344381332397,6.081904411315918,288.4097010623457,2,7.505629539489746,22.41224568823145,1
Action,19,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.3491605520248413,0.506543688367402,0.8077947497367859,6.216770648956299,310.8184523770433,4,7.370763301849365,44.82099700292906,3
Action,21,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.310970902442932,0.5125028697213803,0.7884112596511841,6.309901714324951,324.26974767736453,8,7.277632236480713,58.27229230325031,7
Action,23,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.3410189151763916,0.4427144590639135,0.7759564518928528,6.216769695281982,330.2504069458908,5,7.370764255523682,64.25295157177658,4
Action,25,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.379515528678894,0.4936326455460845,0.7824898362159729,6.3028645515441895,327.8002343050386,4,7.284669399261475,61.802778930924376,3
Action,27,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.2350986003875732,0.4518720054321097,0.8148343563079834,6.279018878936768,316.897114360546,3,7.3085150718688965,50.8996589864318,2
Action,29,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.5752142667770386,0.4896466091778784,0.8369613289833069,6.219345569610596,278.6683528366335,1,7.368188381195068,12.670897462519292,0
Action,31,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.5666872262954712,0.555661024316036,0.7894872426986694,6.169359683990479,316.246268969327,6,7.418174266815185,50.248813595212766,5
Action,33,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.9856027364730835,0.5549305571192422,0.8770274519920349,5.972774982452393,240.0858097044475,4,7.6147589683532715,25.91164566966671,3
Action,35,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.2453055381774902,0.4935849548200417,0.7971145510673523,6.11953592300415,321.1261567079724,4,7.467998027801514,55.1287013338582,3
Action,37,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.521641731262207,0.519433535534272,0.8388453125953674,6.017910957336426,281.483598879608,4,7.569622993469238,15.486143505493771,3
Action,39,center_bias_baseline,13.587533950805664,265.9974553741142,1,1.9922987222671509,0.625249846153326,0.8991262912750244,6.070042133331299,222.39308615222825,6,7.517491817474365,43.604369221885975,5
