category,image,model_name,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,human_entropy,human_center_distance,human_num_peaks,delta_entropy,delta_center_distance,delta_num_peaks
Action,1,transalnet,14.24667739868164,486.0676552953026,16,0.6019858717918396,0.1603501870949629,0.6758332848548889,5.995593070983887,212.024395238429,6,8.251084327697754,274.0432600568736,10
Action,3,transalnet,14.229890823364258,476.2867277518951,10,0.5320742130279541,0.1791363247719186,0.6633527874946594,6.1447625160217285,293.942736762231,9,8.08512830734253,182.34399098966412,1
Action,5,transalnet,13.71005153656006,481.06289985493726,5,1.4087913036346436,0.3577259117928265,0.8247597813606262,6.105237483978272,231.9127995310304,3,7.604814052581788,249.15010032390686,2
Action,7,transalnet,13.948983192443848,384.4878056287444,10,1.127621054649353,0.3846248567569376,0.8182124495506287,6.093632221221924,259.8242327594318,4,7.855350971221924,124.66357286931259,6
Action,9,transalnet,14.359933853149414,508.9349837028737,33,0.7335859537124634,0.2088722139548075,0.7608470916748047,6.0848565101623535,249.83634329473895,3,8.27507734298706,259.09864040813477,30
Action,11,transalnet,14.142050743103027,463.3861682104839,12,0.9589654803276062,0.2618803845071185,0.7766629457473755,6.182762145996094,296.4516358318374,1,7.959288597106934,166.9345323786465,11
Action,13,transalnet,13.531591415405272,305.8215307708371,11,1.429122805595398,0.5029106619278039,0.8471325635910034,6.144759178161621,286.7569026690232,6,7.386832237243651,19.064628101813923,5
Action,15,transalnet,14.207524299621582,444.1872654312215,15,1.1871647834777832,0.3416801501731082,0.8096852898597717,6.15849494934082,252.72841279822467,1,8.049029350280762,191.4588526329968,14
Action,17,transalnet,13.92856788635254,407.3656172491832,10,1.328779697418213,0.428779742334021,0.8357588648796082,6.081904411315918,288.4097010623457,2,7.846663475036623,118.9559161868375,8
Action,19,transalnet,14.107165336608888,483.5333836602761,13,0.6043969988822937,0.2284816186126903,0.6982575058937073,6.216770648956299,310.8184523770433,4,7.89039468765259,172.71493128323283,9
Action,21,transalnet,14.116382598876951,544.3300806807821,18,0.3820624053478241,0.1506434843797137,0.6171648502349854,6.309901714324951,324.26974767736453,8,7.806480884552,220.06033300341755,10
Action,23,transalnet,14.213653564453123,466.6672048356315,12,0.5775836706161499,0.1927887669925234,0.6720437407493591,6.216769695281982,330.2504069458908,5,7.996883869171141,136.41679788974068,7
Action,25,transalnet,13.90969181060791,537.8859896940734,12,0.2834793925285339,0.1008457240799083,0.6325294375419617,6.3028645515441895,327.8002343050386,4,7.606827259063721,210.08575538903477,8
Action,27,transalnet,13.90378761291504,472.20869536267656,5,0.8193395733833313,0.2988492026391202,0.7543649673461914,6.279018878936768,316.897114360546,3,7.624768733978273,155.31158100213054,2
Action,29,transalnet,14.189587593078612,500.2131952736783,7,0.8564293384552002,0.2663987366876512,0.7577657103538513,6.219345569610596,278.6683528366335,1,7.970242023468016,221.5448424370448,6
