model_name,category,image,threshold_ratio,neighborhood,model_num_peaks
deepgazeiie,BlackWhite,043,0.7,25,8
deepgazeiie,BlackWhite,045,0.7,25,8
deepgazeiie,BlackWhite,047,0.7,25,8
deepgazeiie,BlackWhite,049,0.7,25,8
deepgazeiie,BlackWhite,051,0.7,25,4
deepgazeiie,BlackWhite,053,0.7,25,4
deepgazeiie,BlackWhite,055,0.7,25,8
deepgazeiie,BlackWhite,057,0.7,25,4
deepgazeiie,BlackWhite,059,0.7,25,8
deepgazeiie,BlackWhite,061,0.7,25,16
deepgazeiie,BlackWhite,063,0.7,25,16
deepgazeiie,BlackWhite,065,0.7,25,4
deepgazeiie,BlackWhite,067,0.7,25,4
deepgazeiie,BlackWhite,069,0.7,25,4
deepgazeiie,Cartoon,001,0.7,25,4
deepgazeiie,Cartoon,003,0.7,25,4
deepgazeiie,Cartoon,005,0.7,25,12
deepgazeiie,Cartoon,007,0.7,25,12
deepgazeiie,Cartoon,009,0.7,25,12
deepgazeiie,Cartoon,011,0.7,25,12
deepgazeiie,Cartoon,013,0.7,25,4
deepgazeiie,Cartoon,015,0.7,25,16
deepgazeiie,Cartoon,017,0.7,25,8
deepgazeiie,Cartoon,019,0.7,25,4
deepgazeiie,Cartoon,021,0.7,25,36
deepgazeiie,Cartoon,023,0.7,25,4
deepgazeiie,Cartoon,025,0.7,25,4
deepgazeiie,Cartoon,027,0.7,25,4
deepgazeiie,Cartoon,029,0.7,25,4
deepgazeiie,Cartoon,031,0.7,25,4
deepgazeiie,Cartoon,033,0.7,25,8
deepgazeiie,Cartoon,035,0.7,25,16
deepgazeiie,Cartoon,037,0.7,25,4
deepgazeiie,Cartoon,039,0.7,25,8
deepgazeiie,Cartoon,041,0.7,25,4
deepgazeiie,Cartoon,043,0.7,25,8
deepgazeiie,Cartoon,045,0.7,25,4
deepgazeiie,Cartoon,047,0.7,25,4
deepgazeiie,Cartoon,049,0.7,25,4
deepgazeiie,Cartoon,051,0.7,25,4
deepgazeiie,Cartoon,053,0.7,25,4
deepgazeiie,Cartoon,055,0.7,25,8
deepgazeiie,Cartoon,057,0.7,25,4
deepgazeiie,Cartoon,059,0.7,25,8
deepgazeiie,Cartoon,061,0.7,25,16
deepgazeiie,Cartoon,063,0.7,25,8
deepgazeiie,Cartoon,065,0.7,25,12
deepgazeiie,Cartoon,067,0.7,25,12
deepgazeiie,Cartoon,069,0.7,25,8
deepgazeiie,Fractal,001,0.7,25,12
deepgazeiie,Fractal,003,0.7,25,8
deepgazeiie,Fractal,005,0.7,25,4
deepgazeiie,Fractal,007,0.7,25,4
deepgazeiie,Fractal,009,0.7,25,4
deepgazeiie,Fractal,011,0.7,25,4
deepgazeiie,Fractal,013,0.7,25,12
deepgazeiie,Fractal,015,0.7,25,16
deepgazeiie,Fractal,017,0.7,25,4
deepgazeiie,Fractal,019,0.7,25,4
deepgazeiie,Fractal,021,0.7,25,4
deepgazeiie,Fractal,023,0.7,25,4
deepgazeiie,Fractal,025,0.7,25,12
deepgazeiie,Fractal,027,0.7,25,4
deepgazeiie,Fractal,029,0.7,25,8
deepgazeiie,Fractal,031,0.7,25,8
deepgazeiie,Fractal,033,0.7,25,16
deepgazeiie,Fractal,035,0.7,25,8
deepgazeiie,Fractal,037,0.7,25,12
deepgazeiie,Fractal,039,0.7,25,4
deepgazeiie,Fractal,041,0.7,25,4
deepgazeiie,Fractal,043,0.7,25,8
deepgazeiie,Fractal,045,0.7,25,4
deepgazeiie,Fractal,047,0.7,25,4
deepgazeiie,Fractal,049,0.7,25,4
deepgazeiie,Fractal,051,0.7,25,8
deepgazeiie,Fractal,053,0.7,25,12
deepgazeiie,Fractal,055,0.7,25,4
deepgazeiie,Fractal,057,0.7,25,4
deepgazeiie,Fractal,059,0.7,25,4
deepgazeiie,Fractal,061,0.7,25,8
deepgazeiie,Fractal,063,0.7,25,4
deepgazeiie,Fractal,065,0.7,25,8
deepgazeiie,Fractal,067,0.7,25,8
deepgazeiie,Fractal,069,0.7,25,4
deepgazeiie,Indoor,001,0.7,25,32
