category,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,12.518344497680664,231.1901389084011,7.2,2.274668104307992,0.6228456253462453,0.8860498803002493
Affective,12.695979499816895,242.07296414053636,7.428571428571429,2.2147921766553607,0.6264829679879399,0.8792826039450509
Art,13.11417168208531,261.0870308372576,10.857142857142858,1.8309973512377058,0.6087391738030542,0.8523118955748422
BlackWhite,12.736578641619001,259.58409298709404,7.6571428571428575,2.332689356803894,0.6605876123766398,0.8838924356869289
Cartoon,12.999652780805315,275.90008583033926,10.514285714285714,1.8097134300640652,0.5958121010163504,0.8513298937252589
Fractal,13.255371229989189,260.26011378022,8.914285714285715,2.100931303841727,0.6294506297504481,0.8677049807139805
Indoor,13.092999540056502,269.99278584108015,10.628571428571428,1.712334292275565,0.5987658990200064,0.8472833463123867
Inverted,12.995274325779507,264.9829462907734,9.82857142857143,1.8817296283585685,0.596660022289592,0.8577266437666756
Jumbled,13.14174017224993,277.90724782838055,9.371428571428572,1.369393379347665,0.527913769867704,0.833264172077179
LineDrawing,13.147511454990932,276.0886740683723,9.371428571428572,1.7966346757752554,0.6003005464486171,0.8583956701414925
LowResolution,13.034409822736468,263.31752462106994,8.685714285714285,1.9938742671694074,0.5365010893738278,0.8831132769584655
Noisy,13.120646830967495,255.7213785894255,9.371428571428572,1.9258715050561088,0.5869155734779408,0.8686007022857666
Object,12.777622713361467,246.54565892618652,9.257142857142858,2.2159570421491352,0.6427317272881045,0.8843483209609986
OutdoorManMade,13.028618839808873,260.5505423805808,9.028571428571428,1.9031634143420628,0.6235322280326532,0.8629247648375374
OutdoorNatural,13.111224801199777,274.2384392333471,11.428571428571429,1.8130764143807547,0.5973145610647187,0.8596176964896066
Pattern,13.069558497837612,266.3998816813557,14.285714285714286,1.8502943175179618,0.5362408488346997,0.8693539568356106
Random,12.68519423348563,268.0125246991019,9.257142857142858,2.013411091055189,0.5731334368046431,0.881029064314706
Satelite,13.268413243974958,281.2902946817231,11.428571428571429,1.4558188336236135,0.519758743286305,0.8199205449649266
Sketch,12.50077623639788,217.1244237196761,8.228571428571428,2.775088235310146,0.6859123283524969,0.9185524668012347
Social,12.702013615199498,266.5957313215406,8.342857142857143,2.0209017038345336,0.6226978041340445,0.8710616741861615
