model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,BlackWhite,007,0.5,35,14,5,9
deepgazeiie,BlackWhite,009,0.5,35,8,8,0
deepgazeiie,BlackWhite,011,0.5,35,8,3,5
deepgazeiie,BlackWhite,013,0.5,35,4,3,1
deepgazeiie,BlackWhite,015,0.5,35,6,6,0
deepgazeiie,BlackWhite,017,0.5,35,16,2,14
deepgazeiie,BlackWhite,019,0.5,35,12,5,7
deepgazeiie,BlackWhite,021,0.5,35,8,3,5
deepgazeiie,BlackWhite,023,0.5,35,4,5,1
deepgazeiie,BlackWhite,025,0.5,35,16,4,12
deepgazeiie,BlackWhite,027,0.5,35,8,3,5
deepgazeiie,BlackWhite,029,0.5,35,8,3,5
deepgazeiie,BlackWhite,031,0.5,35,4,3,1
deepgazeiie,BlackWhite,033,0.5,35,12,4,8
deepgazeiie,BlackWhite,035,0.5,35,4,1,3
deepgazeiie,BlackWhite,037,0.5,35,12,2,10
deepgazeiie,BlackWhite,039,0.5,35,4,1,3
deepgazeiie,BlackWhite,041,0.5,35,12,6,6
deepgazeiie,BlackWhite,043,0.5,35,8,7,1
deepgazeiie,BlackWhite,045,0.5,35,8,1,7
deepgazeiie,BlackWhite,047,0.5,35,8,2,6
deepgazeiie,BlackWhite,049,0.5,35,8,2,6
deepgazeiie,BlackWhite,051,0.5,35,4,2,2
deepgazeiie,BlackWhite,053,0.5,35,4,2,2
deepgazeiie,BlackWhite,055,0.5,35,8,5,3
deepgazeiie,BlackWhite,057,0.5,35,8,5,3
deepgazeiie,BlackWhite,059,0.5,35,16,5,11
deepgazeiie,BlackWhite,061,0.5,35,20,5,15
deepgazeiie,BlackWhite,063,0.5,35,32,6,26
deepgazeiie,BlackWhite,065,0.5,35,4,7,3
deepgazeiie,BlackWhite,067,0.5,35,8,2,6
deepgazeiie,BlackWhite,069,0.5,35,4,7,3
deepgazeiie,Cartoon,001,0.5,35,8,9,1
deepgazeiie,Cartoon,003,0.5,35,4,1,3
deepgazeiie,Cartoon,005,0.5,35,12,3,9
deepgazeiie,Cartoon,007,0.5,35,12,10,2
deepgazeiie,Cartoon,009,0.5,35,12,7,5
deepgazeiie,Cartoon,011,0.5,35,24,12,12
deepgazeiie,Cartoon,013,0.5,35,8,3,5
deepgazeiie,Cartoon,015,0.5,35,16,3,13
deepgazeiie,Cartoon,017,0.5,35,8,8,0
deepgazeiie,Cartoon,019,0.5,35,8,4,4
deepgazeiie,Cartoon,021,0.5,35,48,1,47
